edep_keV,y_keV_um,z_mGy
0.123528,0.030882,0.174994
0.257209,0.0643023,0.364372
0.23806,0.0595149,0.337244
0.459987,0.114997,0.651634
0.256091,0.0640228,0.362788
0.907568,0.226892,1.28569
7.25205,1.81301,10.2735
0.158237,0.0395592,0.224164
1.91871,0.479678,2.71811
0.142835,0.0357087,0.202345
8.3245,2.08112,11.7928
2.29722,0.574304,3.25432
8.32457,2.08114,11.7929
1.03055,0.257638,1.45992
1.80157,0.450394,2.55217
0.889494,0.222373,1.26009
0.775409,0.193852,1.09847
8.32552,2.08138,11.7942
0.965547,0.241387,1.36783
0.152198,0.0380495,0.215609
2.5832,0.645801,3.65946
8.3227,2.08067,11.7902
0.890539,0.222635,1.26157
0.0326126,0.00815316,0.0462002
8.32413,2.08103,11.7923
8.3248,2.0812,11.7932
0.890778,0.222695,1.26191
8.32711,2.08178,11.7965
0.889786,0.222447,1.2605
0.89029,0.222572,1.26122
1.02931,0.257327,1.45815
0.40822,0.102055,0.578299
8.32489,2.08122,11.7933
1.99715,0.499287,2.82923
0.493821,0.123455,0.699564
8.3269,2.08173,11.7962
0.354114,0.0885285,0.501651
1.03026,0.257565,1.4595
0.90759,0.226898,1.28572
8.32614,2.08153,11.7951
0.17193,0.0429825,0.243562
0.465124,0.116281,0.658911
0.548575,0.137144,0.777131
0.844073,0.211018,1.19574
0.474603,0.118651,0.672339
0.176943,0.0442357,0.250663
1.03016,0.257539,1.45936
1.11761,0.279403,1.58325
0.734852,0.183713,1.04102
0.12142,0.0303549,0.172007
0.909156,0.227289,1.28794
0.890335,0.222584,1.26128
0.296884,0.0742209,0.420576
1.0202,0.255049,1.44524
8.32701,2.08175,11.7963
0.340934,0.0852335,0.482979
8.32336,2.08084,11.7912
0.907976,0.226994,1.28627
0.849351,0.212338,1.20322
0.282585,0.0706463,0.40032
0.0192768,0.00481921,0.0273082
0.891234,0.222809,1.26255
0.171608,0.042902,0.243106
0.80149,0.200372,1.13542
1.02989,0.257473,1.45898
0.908902,0.227226,1.28758
4.25509,1.06377,6.0279
0.150892,0.037723,0.213759
0.122764,0.030691,0.173912
0.42996,0.10749,0.609096
2.04094,0.510234,2.89126
0.679037,0.169759,0.961948
0.70906,0.177265,1.00448
